"id","class_id","class_date","start","end","allowed","minimum_students","cancel_class_before_due_to_min_student_hour","cancel_class_before_due_to_min_student_minute","repeat","session_timings","booking_start","booking_start_minute","booking_end","booking_end_minute","cancel_start","cancel_start_minute","cancel_end","cancel_end_minute","attendace_before_hour","attendace_before_minute","attendace_after_hour","attendace_after_minute","session_end_date","choose_period","week_days","month_days","status","updated_at","created_at"
"3","3","2025-02-10 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""1"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:30""]},""3"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:30""]}}","0","0","0","0","0","0","0","0","0","0","0","0","2026-06-30 00:00:00",NULL,"[""1"",""3"",""4""]",NULL,"a","2026-05-31 13:00:23","2022-02-08 10:09:01"
"4","4","2025-02-10 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""1"":{""start"":[""20:30""],""status"":[""1""],""end"":[""21:30""]},""2"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""3"":{""start"":[""20:30""],""status"":[""1""],""end"":[""21:30""]},""4"":{""start"":[""19:00""],""end"":[""20:00""]}}","0","0","0","0","0","0","0","0","0","0","0","0","2026-06-30 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,"a","2026-05-31 13:00:37","2022-02-08 10:16:15"
"37","37","2022-08-25 00:00:00",NULL,NULL,"80",NULL,NULL,NULL,"0","{""0"":{""start"":[""12:00""],""end"":[""14:00""]},""4"":{""start"":[""12:00"",""19:00""],""status"":[""1""],""end"":[""13:30"",""20:30""]},""5"":{""start"":[""12:00"",""19:00""],""status"":[""1""],""end"":[""13:30"",""20:30""]},""6"":{""start"":[""12:00"",""19:00""],""status"":[""1""],""end"":[""13:30"",""20:30""]}}","1",NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-08-28 00:00:00",NULL,"[""0"",""4"",""5"",""6""]",NULL,"a","2022-08-17 14:29:00","2022-08-17 14:23:59"
"38","43","2022-10-03 00:00:00","10:00:00","11:30:00","40",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00"",""18:00""],""status"":[""1"",""1""],""end"":[""11:00"",""19:00""]},""2"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]},""3"":{""start"":[""10:00"",""18:00""],""status"":[""1"",""1""],""end"":[""11:00"",""19:00""]},""4"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]},""5"":{""start"":[""10:00"",""18:00""],""status"":[""1"",""1""],""end"":[""11:00"",""19:00""]}}","78",NULL,"1",NULL,"78",NULL,"1",NULL,"1","0","0","10","2024-09-01 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,"a","2024-03-31 17:42:46","2022-10-12 18:32:29"
"39","44","2022-10-03 00:00:00","19:00:00","20:00:00","40",NULL,NULL,NULL,"0","{""1"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""2"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""3"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""4"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]},""5"":{""start"":[""19:00""],""status"":[""1""],""end"":[""20:00""]}}","78","0","0","15","78","0","0","5","1","0","0","20","2024-09-01 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5"",""6""]",NULL,"a","2024-03-31 17:43:04","2022-10-12 19:14:15"
"40","42","2022-10-13 00:00:00","12:00:00","13:00:00","40",NULL,NULL,NULL,"0","{""2"":{""start"":[""12:00""],""end"":[""13:00""]},""4"":{""start"":[""12:00""],""end"":[""13:00""]}}","48",NULL,"1",NULL,"24",NULL,"1",NULL,"1","0","0","10","2024-09-01 00:00:00",NULL,"[""2"",""4""]",NULL,"a","2024-03-31 17:42:32","2022-10-13 06:33:43"
"42","50","2022-10-01 00:00:00","10:00:00","11:00:00","1",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]},""2"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]},""3"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]},""4"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]},""5"":{""start"":[""10:00""],""status"":[""1""],""end"":[""11:00""]}}","48",NULL,"1",NULL,"48",NULL,"1",NULL,"1","0","0","10","2024-12-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,"a","2024-04-07 11:48:03","2022-10-19 18:33:46"
"43","49","2022-10-01 00:00:00","17:00:00","18:00:00","20",NULL,NULL,NULL,"0","{""2"":{""start"":[""17:00""],""end"":[""18:00""]},""4"":{""start"":[""17:00""],""end"":[""18:00""]}}","48",NULL,"1",NULL,"48",NULL,"1",NULL,"1","0","0","10","2024-12-31 00:00:00",NULL,"[""2"",""4""]",NULL,"a","2024-04-07 11:48:12","2022-10-19 18:37:45"
"44","48","2022-10-01 00:00:00","18:00:00","19:00:00","20",NULL,NULL,NULL,"0","{""1"":{""start"":[""12:00""],""end"":[""13:00""]},""2"":{""start"":[""12:00""],""end"":[""13:00""]},""3"":{""start"":[""12:00""],""end"":[""13:00""]},""4"":{""start"":[""12:00""],""end"":[""13:00""]},""5"":{""start"":[""12:00""],""end"":[""13:00""]}}","1",NULL,"1",NULL,"1",NULL,"1",NULL,"1","0","0","10","2024-12-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,"a","2024-04-07 11:48:21","2022-10-19 18:40:16"
"51","67","2022-11-01 00:00:00","10:00:00","19:30:00","30",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00"",""19:30""],""status"":[""1"",""1""],""end"":[""11:30"",""21:00""]},""2"":{""start"":[""10:00"",""19:30""],""status"":[""1"",""1""],""end"":[""11:30"",""21:00""]},""3"":{""start"":[""10:00"",""19:30""],""status"":[""1"",""1""],""end"":[""11:30"",""21:00""]},""4"":{""start"":[""10:00"",""19:30""],""status"":[""1"",""1""],""end"":[""11:30"",""21:00""]},""5"":{""start"":[""10:00"",""19:30""],""status"":[""1"",""1""],""end"":[""11:30"",""21:00""]}}","100",NULL,"1",NULL,"100",NULL,"1",NULL,"0","60","0","20","2023-01-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,NULL,"2023-01-05 22:43:54","2022-11-06 19:52:02"
