"id","user_id","activity_id","type","name","description","plan","price","professor","date","time","address","color","image","icon","select_access","status","created_at","updated_at"
"2","798","18","1","Jiu Jitsu Todos","Clases de Jiu Jitsu para todos los niveles.

Cada clase comienza con un calentamiento completo para preparar el cuerpo , seguido de una instrucción detallada de técnicas fundamentales y avanzadas. 

Continuando la clase con la practica con compañeros, para poder practicar las técnicas de ataque y defensa, aprendidas en las clases de grupo.",NULL,NULL,,NULL,NULL,"Calle Polifemo 3, 29004 Malaga","#3366ff","95503698894125.png","/images/icons/bjj.JPG","2","a","2025-06-13 14:53:54","2025-06-13 16:53:54"
"3","798","18","1","Jiu Jitsu Avanzado",NULL,NULL,NULL,,NULL,NULL,"Calle Polifemo 3, 29004 Malaga","#663366","15245721411214.png","/images/icons/bjj.JPG","3","a","2025-06-13 14:53:18","2025-06-13 16:53:18"
"4","798","18","1","Jiu Jitsu Iniciación","Clases de Jiu Jitsu para principiantes. Clases para cinturones blancos donde se trabaja en la base y fundamentos del Jiu Jitsu.",NULL,NULL,,NULL,NULL,"Calle Polifemo 3, 29004 Malaga","#000000","63120757888090.png","/images/icons/bjj.JPG","4","a","2025-06-13 14:52:04","2025-06-13 16:52:04"
"5","798","18","1","NOGI","Clases de NoGi - Grappling para todos los niveles.
Cada clase comienza con un calentamiento completo para preparar el cuerpo, seguido de una instrucción detallada de técnicas fundamentales y avanzadas.  
Y continuan con la practica entre compañeros, para poner en practica todo lo aprendido durante las clases.",NULL,NULL,"Monti",NULL,NULL,"Calle Polifemo 3, 29004 Malaga","#804000","71827131307811.png","/images/icons/bjj.JPG","5","a","2025-06-02 16:14:30","2025-06-02 18:14:30"
"37","912",NULL,"1","Summer Camp",NULL,NULL,NULL,"Roger Gracie",NULL,NULL,"Palacio de Deportes José María Martín Carpena, Calle Miguel de Merida Nicolich, Málaga, España, Málaga, AN, 29004, España","#3366ff","31929041392657.jpeg",NULL,"38","a","2022-11-18 23:17:49","2022-11-18 23:17:49"
"42","959",NULL,"1","Muay Thai",NULL,NULL,NULL,"Juan Trigo",NULL,NULL,"Phuket, Mueang Phuket District, Provincia de Phuket, Tailandia, Phuket, จ.ภูเก็ต, 83000, Tailandia","#000000","76012049800132.png",NULL,"43","a","2022-10-17 17:45:12","2022-10-17 17:45:12"
"43","959",NULL,"1","Muay Thai",NULL,NULL,NULL,"Juan Trigo",NULL,NULL,"Phuket, Mueang Phuket District, Provincia de Phuket, Tailandia, Phuket, จ.ภูเก็ต, 83000, Tailandia","#000000","51259759249267.png",NULL,"44","a","2022-10-17 17:47:07","2022-10-17 17:47:07"
"44","959",NULL,"1","Advanced",NULL,NULL,NULL,"Juan Trigo",NULL,NULL,"Phuket, Mueang Phuket District, Provincia de Phuket, Tailandia, Phuket, จ.ภูเก็ต, 83000, Tailandia","#cc3333","80236338874775.png",NULL,"45","a","2022-10-17 18:41:08","2022-10-17 18:41:08"
"48","973",NULL,"1","Boxing",NULL,NULL,NULL,"Jamie",NULL,NULL,"Crumlin Boxing Club, Windmill Rd, Drimnagh, Crumlin, Dublin, Irlanda, Dublin, D, 29004, Irlanda","#000000","29037270544017.png",NULL,"49","a","2022-10-19 18:30:20","2022-10-19 18:30:20"
"49","973",NULL,"1","Boxing Kids",NULL,NULL,NULL,"Jamie",NULL,NULL,"Crumlin Boxing Club, Windmill Rd, Drimnagh, Crumlin, Dublin, Irlanda, Dublin, D, 29004, Irlanda","#000000","43277605864466.png",NULL,"50","a","2022-10-19 18:39:02","2022-10-19 18:39:02"
"50","973",NULL,"1","Personal",NULL,NULL,NULL,"Jamie",NULL,NULL,"Crumlin Boxing Club, Windmill Rd, Drimnagh, Crumlin, Dublin, Irlanda, Dublin, D, 29004, Irlanda","#000000","82262229958730.png",NULL,"51","a","2022-10-19 18:32:29","2022-10-19 18:32:29"
"53","992",NULL,"1","All Levels",NULL,NULL,NULL,"Marcus Cruz",NULL,NULL,"12 Rue d'Italie, Nice, Cote d'Azur, 06100, France","#3366ff","50755827738584.png",NULL,"55","a","2022-10-24 13:56:53","2022-10-24 13:56:53"
"57","992","53","1","Kids",NULL,NULL,NULL,"Marcus Cruz",NULL,NULL,"12 Rue d'Italie, Nice, Cote d'Azur, 06100, France","#669966","65297816132641.png",NULL,"59","a","2023-04-27 14:16:23","2023-04-27 14:16:23"
"59","1010",NULL,"1","JIU-JITSU juniors",NULL,NULL,NULL,"Paula Valladares",NULL,NULL,"Calle Vía Apia, 44, Dos Hermanas, Sevilla, Andalucía, 41089, España","#2db949","32460206620145.png",NULL,"61","a","2022-11-18 22:43:52","2022-11-18 22:43:52"
"60","1010",NULL,"1","JIU-JITSU infantil",NULL,NULL,NULL,"Paula Valladares",NULL,NULL,"Calle Vía Apia, 44, Dos Hermanas, Sevilla, Andalucía, 41089, España","#3bb53d","81099070291985.png",NULL,"62","a","2022-11-18 22:43:38","2022-11-18 22:43:38"
"61","1010",NULL,"1","JIU-JITSU fundamental",NULL,NULL,NULL,"JuanMa Campillo",NULL,NULL,"Calle Vía Apia, 44, Dos Hermanas, Sevilla, Andalucía, 41089, España","#37b635","54072028239552.png",NULL,"63","a","2022-11-18 22:44:08","2022-11-18 22:44:08"
"62","1010",NULL,"1","JIU-JITSU mañanas GI",NULL,NULL,NULL,"JuanMa Campillo",NULL,NULL,"Calle Vía Apia, 44, Dos Hermanas, Sevilla, Andalucía, 41089, España","#47ab3f","90133718798835.png",NULL,"64","a","2022-11-18 22:44:22","2022-11-18 22:44:22"
